CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG0029	HuCL00265C001	HaT13l005249	AT5G62530	AT5G62530	ALDH12A1	ALDH12A1	"Encodes mitochondrial Delta-pyrroline-5- carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response."	"Encodes mitochondrial Delta-pyrroline-5-  carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response. protein_coding  ALDEHYDE DEHYDROGENASE 12A1 (ALDH12A1)  ALDEHYDE DEHYDROGENASE 12A1 (ALDH12A1);ARABIDOPSIS THALIANA DELTA1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE (ATP5CDH);DELTA1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE (P5CDH)"				
CG0030	HuCL00370C003	HaT13l001255	AT3G25800	AT3G25800	PP2AA2	PP2AA2	one of three genes encoding the protein phosphatase 2A regulatory subunit	one of three genes encoding the protein phosphatase 2A regulatory subunit       protein_coding  PROTEIN PHOSPHATASE 2A  SUBUNIT A2 (PP2AA2)      (PDF1); (PR 65);PROTEIN PHOSPHATASE 2A  SUBUNIT A2 (PP2AA2)				
CG0032	HuCL00491C001	HaT13l001419	AT3G45140	AT3G45140	LOX2	LOX2	Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.	Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.      protein_coding  LIPOXYGENASE 2 (LOX2)   LIPOXYGENASE 2 (LOX2);ARABIODOPSIS THALIANA LIPOXYGENASE 2 (ATLOX2)				
CG0035	HuCL00745C002	HaT13l002279	AT1G14920	AT1G14920	GAI	GAI	Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA. protein_coding  GIBBERELLIC ACID INSENSITIVE (GAI)      GIBBERELLIC ACID INSENSITIVE (GAI);RESTORATION ON GROWTH ON AMMONIA 2 (RGA2)	Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA. protein_coding  GIBBERELLIC ACID INSENSITIVE (GAI)      GIBBERELLIC ACID INSENSITIVE (GAI);RESTORATION ON GROWTH ON AMMONIA 2 (RGA2)				
CG0038	HuCL00766C001	HaT13l002639	AT2G44060	AT2G44060	LEA14	LEA14	"Late embryogenesis abundant protein, group 2; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion, response to desiccation, embryo development ending in seed dormancy; LOCATED IN: plasma membrane, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Water stress and hypersensitive response domain (InterPro:IPR013990), Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant protein (TAIR:AT1G01470.1); Has 294 Blast hits to 286 proteins in 78 species: Archae - 4; Bacteria - 52; Metazoa - 0; Fungi - 0; Plants - 235; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."	"Late embryogenesis abundant protein, group 2; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion, response to desiccation, embryo development ending in seed dormancy; LOCATED IN: plasma membrane, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Water stress and hypersensitive response domain (InterPro:IPR013990), Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant protein (TAIR:AT1G01470.1); Has 294 Blast hits to 286 proteins in 78 species: Archae - 4; Bacteria - 52; Metazoa - 0; Fungi - 0; Plants - 235; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."				
CG0043	HuCL00918C001	HaT13l000075	AT5G13630	AT5G13630	GUN5	GUN5	Encodes magnesium chelatase involved in plastid-to-nucleus signal transduction.	Encodes magnesium chelatase involved in plastid-to-nucleus signal transduction. protein_coding  GENOMES UNCOUPLED 5 (GUN5)      GENOMES UNCOUPLED 5 (GUN5);CONDITIONAL CHLORINA (CCH);H SUBUNIT OF MG-CHELATASE (CHLH); (CCH1);ABA-BINDING PROTEIN (ABAR)				
CG0044	HuCL00932C001	HaT13l003075	AT1G18890	AT1G18890	CDPK1	CDPK1	encodes a calcium-dependent protein kinase whose gene expression is induced by dehydration and high salt. Kinase activity could not be detected in vitro.	encodes a calcium-dependent protein kinase whose gene expression is induced by dehydration and high salt. Kinase activity could not be detected in vitro.       protein_coding  CALCIUM-DEPENDENT PROTEIN KINASE 1 (CDPK1)      CALCIUM-DEPENDENT PROTEIN KINASE 1 (ATCDPK1); (CPK10);CALCIUM-DEPENDENT PROTEIN KINASE 1 (CDPK1); (AtCPK10)				
CG0045	HuCL00941C001	HaT13l000107	AT1G15690	AT1G15690	AVP1	AVP1	"Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined, including meristems and floral organ primordium. Expression is particularly enhanced in pollen, and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1."	"Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined, including meristems and floral organ primordium. Expression is particularly enhanced in pollen, and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1.   protein_coding   (AVP1)  (AVP1);ARABIDOPSIS THALIANA V-PPASE 3 (ATAVP3); (AVP-3); (AtVHP1;1)"				
CG0046	HuCL01003C001	HaT13l004452	AT4G27410	AT4G27410	RD26	RD26	Encodes a NAC transcription factor induced in response to dessication. It is localized to the nucleus and acts as a transcriptional activator in ABA-mediated dehydration response.	Encodes a NAC transcription factor induced in response to dessication. It is localized to the nucleus and acts as a transcriptional activator in ABA-mediated dehydration response.     protein_coding  RESPONSIVE TO DESICCATION 26 (RD26)     RESPONSIVE TO DESICCATION 26 (RD26);ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 72 (ANAC072)				
CG0048	HuCL01031C001	HaT13l000172	AT4G35310	AT4G35310	CPK5	CPK5	calmodulin-domain protein kinase CDPK isoform 5 (CPK5)	calmodulin-domain protein kinase CDPK isoform 5 (CPK5)  protein_coding  CALMODULIN-DOMAIN PROTEIN KINASE 5 (CPK5)       CALMODULIN-DOMAIN PROTEIN KINASE 5 (CPK5); (ATCPK5)				
CG0050	HuCL01105C001	HaT13l000715	AT4G09570	AT4G09570	CPK4	CPK4	Encodes a member of Calcium Dependent Protein Kinase (CDPK) gene family.Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.	Encodes a member of Calcium Dependent Protein Kinase (CDPK) gene family.Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4. protein_coding  CALCIUM-DEPENDENT PROTEIN KINASE 4 (CPK4)       CALCIUM-DEPENDENT PROTEIN KINASE 4 (CPK4); (ATCPK4)				
CG0056	HuCL01467C001	HaT13l011919	AT1G71695	AT1G71695	HuCL01467C001	HaT13l011919	"Peroxidase superfamily protein; FUNCTIONS IN: peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress, oxidation reduction; LOCATED IN: cell wall, vacuole, membrane, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Peroxidases heam-ligand binding site (InterPro:IPR019793), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016), Peroxidase, active site (InterPro:IPR019794); BEST Arabidopsis thaliana protein match is: Peroxidase superfamily protein (TAIR:AT2G18150.1); Has 4523 Blast hits to 4498 proteins in 279 species: Archae - 0; Bacteria - 4; Metazoa - 1; Fungi - 207; Plants - 4264; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink)."	"Peroxidase superfamily protein; FUNCTIONS IN: peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress, oxidation reduction; LOCATED IN: cell wall, vacuole, membrane, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Peroxidases heam-ligand binding site (InterPro:IPR019793), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016), Peroxidase, active site (InterPro:IPR019794); BEST Arabidopsis thaliana protein match is: Peroxidase superfamily protein (TAIR:AT2G18150.1); Has 4523 Blast hits to 4498 proteins in 279 species: Archae - 0; Bacteria - 4; Metazoa - 1; Fungi - 207; Plants - 4264; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink)."				
CG0061	HuCL01711C001	HaT13l001315	AT1G27320	AT1G27320	HK3	HK3	"Encodes a histidine kinases, a cytokinin receptor that controls cytokinin-mediated leaf longevity through a specific phosphorylation of the response regulator, ARR2."	"Encodes a histidine kinases, a cytokinin receptor that controls cytokinin-mediated leaf longevity through a specific phosphorylation of the response regulator, ARR2.   protein_coding  HISTIDINE KINASE 3 (HK3)        HISTIDINE KINASE 3 (AHK3);HISTIDINE KINASE 3 (HK3)"				
CG0062	HuCL01377C001	HaT13l005577	AT1G32640	AT1G32640	MYC2	MYC2	"Encodes a MYC-related transcriptional activator with a typical DNA binding domain of a basic helix-loop-helix leucine zipper motif. Binds to an extended G-Box promoter motif. Its transcription is induced by dehydration stress and ABA treatment. Negative regulator of blue light–mediated photomorphogenic growth and blue and far-red-light–regulated gene expression. Positive regulator of lateral root formation. Regulates diverse JA-dependent functions. Negatively regulates Trp metabolism and biosynthesis of Trp-derived secondary metabolites. Positively regulates flavonoid biosynthesis, resistance to insects, and response to oxidative stress. Regulates other transcription factors, and negatively regulates its own expression."	"Encodes a MYC-related transcriptional activator with a typical DNA binding domain of a basic helix-loop-helix leucine zipper motif. Binds to an extended G-Box promoter motif and interacts with Jasmonate ZIM-domain proteins. Its transcription is induced by dehydration stress and ABA treatment. Negative regulator of blue light–mediated photomorphogenic growth and blue and far-red-light–regulated gene expression. Positive regulator of lateral root formation. Regulates diverse JA-dependent functions. Negatively regulates Trp metabolism and biosynthesis of Trp-derived secondary metabolites. Positively regulates flavonoid biosynthesis, resistance to insects, and response to oxidative stress. Regulates other transcription factors, and negatively regulates its own expression.      protein_coding   (MYC2)  (ATMYC2); (RD22BP1);JASMONATE INSENSITIVE 1 (JAI1);JASMONATE INSENSITIVE 1 (JIN1); (MYC2); (ZBF1)"				
CG0068	HuCL10180C001	HaT13l005278	AT1G45249	AT1G45249	ABF2	ABF2	"Leucine zipper transcription factor that binds to the abscisic acid (ABA)–responsive element (ABRE) motif in the promoter region of ABA-inducible genes. Enhances drought tolerance in vegetative tissues. Required for normal glucose response. Localized in the nucleus.  Expressed constitutively in roots,  leaf vascular tissues, and hydathodes or  in all tissues under stress conditions. It's phosphorylated by a ABA-activated 42-KDa kinase. Overexpression of the phosphorylated active form of AREB1 expressed many ABA-inducible genes, such as RD29B, without ABA treatment.     protein_coding  ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2)       ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2); (AtABF2)"	"Leucine zipper transcription factor that binds to the abscisic acid (ABA)–responsive element (ABRE) motif in the promoter region of ABA-inducible genes. Enhances drought tolerance in vegetative tissues. Required for normal glucose response. Localized in the nucleus.  Expressed constitutively in roots,  leaf vascular tissues, and hydathodes or  in all tissues under stress conditions. It's phosphorylated by a ABA-activated 42-KDa kinase. Overexpression of the phosphorylated active form of AREB1 expressed many ABA-inducible genes, such as RD29B, without ABA treatment.     protein_coding  ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2)       ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2); (AtABF2)"				
CG0071	HuCL02266C001	HaT13l007084	AT2G41430	AT2G41430	ERD15	ERD15	"Encodes hydrophilic protein lacking Cys residues that is expressed in response to drought stress, light stress and treatment with plant-growth-promoting rhizobacteria (Paenibacillus polymyxa), possibly revealing a connection between responses to biotic and abiotic stress. Also identified as a CTC Interacting Domain (CID) protein in a yeast two hybrid screen using the PAB2 protein as bait. Contains PAM2 like domain which mediates interaction with PABC domain in PAB2."	"Encodes hydrophilic protein lacking Cys residues that is expressed in response to drought stress, light stress and treatment with plant-growth-promoting rhizobacteria (Paenibacillus polymyxa), possibly revealing a connection between responses to biotic and abiotic stress. Also identified as a  CTC Interacting Domain (CID) protein in a yeast two hybrid screen using the PAB2 protein as bait. Contains PAM2 like domain which mediates interaction with PABC domain in PAB2. protein_coding  EARLY RESPONSIVE TO DEHYDRATION 15 (ERD15)      EARLY RESPONSIVE TO DEHYDRATION 15 (ERD15);LIGHT STRESS-REGULATED 1 (LSR1);CTC-INTERACTING DOMAIN 1 (CID1)"				
CG0073	HuCL02508C001	HaT13l003722	AT2G06050	AT2G06050	OPR3	OPR3	"Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene."	"Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene. protein_coding  OXOPHYTODIENOATE-REDUCTASE 3 (OPR3)     OXOPHYTODIENOATE-REDUCTASE 3 (OPR3)"				
CG0074	HuCL02647C002	HaT13l003541	AT1G12110	AT1G12110	NRT1.1	NRT1.1	"Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium."	"Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium."				
CG0076	HuCL03421C001	HaT13l006413	AT5G40280	AT5G40280	ERA1	ERA1	"encodes a beta subunit of farnesyl-trans-transferase, which is involved in meristem organization and ABA-mediated signal transduction pathway. Mutant phenotypes have been observed in meristem organization, and response to abscisic acid and drought."	"encodes a beta subunit of farnesyl-trans-transferase, which is involved in meristem organization and ABA-mediated signal transduction pathway. Mutant phenotypes have been observed in meristem organization, and response to abscisic acid and drought.        protein_coding  ENHANCED RESPONSE TO ABA 1 (ERA1)       ENHANCED RESPONSE TO ABA 1 (ERA1);ARABIDOPSIS THALIANA FARNESYL TRANSFERASE BETA SUBUNIT (ATFTB);WIGGUM (WIG)"				
CG0079	HuCL03540C001	HaT13l002843	AT3G56860	AT3G56860	UBA2A	UBA2A	"encodes a nuclear protein that binds to RNA with a specificity for oligouridylates in vitro. Along with UBP1 and UBA1a, it may act as a component of a complex recognizing U-rich sequences in plant 3'-UTRs and contributing to the stabilization of mRNAs in the nucleus."	"encodes a nuclear protein that binds to RNA with a specificity for oligouridylates in vitro. Along with UBP1 and UBA1a, it may act as a component of a complex recognizing U-rich sequences in plant 3'-UTRs and contributing to the stabilization of mRNAs in the nucleus.     protein_coding  UBP1-ASSOCIATED PROTEIN 2A (UBA2A)      UBP1-ASSOCIATED PROTEIN 2A (UBA2A)"				
CG0080	HuCL03602C001	HaT13l003690	AT4G33950	AT4G33950	OST1	OST1	"Encodes calcium-independent ABA-activated protein kinase, a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Mutations disrupted ABA induction of stomatal closure as well as ABA inhibition of light-induced stomatal opening. However, regulation of stomatal opening/closing by light or CO(2) is not affected in these mutants. May act in the interval between ABA perception and reactive oxygen species production in the ABA signalling network."	"Encodes calcium-independent ABA-activated protein kinase, a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Mutations disrupted ABA induction of stomatal closure as well as ABA inhibition of light-induced stomatal opening. However, regulation of stomatal opening/closing by light or CO(2) is not affected in these mutants. May act in the interval between ABA perception and reactive oxygen species production in the ABA signalling network.    protein_coding  OPEN STOMATA 1 (OST1)   OPEN STOMATA 1 (OST1);SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-6 (SNRK2-6); (SRK2E);SNF1-RELATED PROTEIN KINASE 2.6 (SNRK2.6); (P44);OPEN STOMATA 1 (ATOST1)"				
CG0087	HuCL04662C001	HaT13l007875	AT1G72770	AT1G72770	HAB1	HAB1	mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid.	mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid.        protein_coding  HYPERSENSITIVE TO ABA1 (HAB1)   HYPERSENSITIVE TO ABA1 (HAB1)				
