TAIR Accession	Name	Description
AT1G45249	ABF2	"Leucine zipper transcription factor that binds to the abscisic acid (ABA)–responsive element (ABRE) motif in the promoter region of ABA-inducible genes. Enhances drought tolerance in vegetative tissues. Required for normal glucose response. Localized in the nucleus.  Expressed constitutively in roots,  leaf vascular tissues, and hydathodes or  in all tissues under stress conditions. It's phosphorylated by a ABA-activated 42-KDa kinase. Overexpression of the phosphorylated active form of AREB1 expressed many ABA-inducible genes, such as RD29B, without ABA treatment.     protein_coding  ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2)       ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 2 (ABF2); (AtABF2)"
AT4G33950	OST1	"Encodes calcium-independent ABA-activated protein kinase, a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Mutations disrupted ABA induction of stomatal closure as well as ABA inhibition of light-induced stomatal opening. However, regulation of stomatal opening/closing by light or CO(2) is not affected in these mutants. May act in the interval between ABA perception and reactive oxygen species production in the ABA signalling network."
AT4G01370	MPK4	Encodes a nuclear and cytoplasmically localized MAP kinase involved in mediating responses to pathogens. Its substrates include MKS1 and probably MAP65-1.The MAP65-1 interaction is involved in mediating cortical microtuble organization.
AT1G09700	HYL1	"Encodes a nuclear dsRNA binding protein. Involved in mRNA cleavage. The mutant is characterized by shorter stature, delayed flowering, leaf hyponasty, reduced fertility, decreased rate of root growth, and an altered root gravitropic response. It also exhibits less sensitivity to auxin and cytokinin."
AT1G52340	ABA2	Encodes a cytosolic short-chain dehydrogenase/reductase involved in the conversion of xanthoxin to ABA-aldehyde during ABA biosynthesis. Mutants are insensitive to sucrose and glucose.
AT3G57240	BG3	"encodes a member of glycosyl hydrolase family 17        protein_coding  \BETA-1,3-GLUCANASE 3\"" (BG3)    \""BETA-1,3-GLUCANASE 3\"" (BG3)"""
AT4G29010	AIM1	"Functions in beta-oxidation of fatty acids, similar to CuMFP with L-3-hydroxyacyl-CoA hydrolyase , L-3-hydroxyacyl-dehydrogenase, D-3-hydroxyacyl-CoA epimerase, and 3, 2-enoyl-CoA isomerase activities"
AT3G28860	ABCB19	"Belongs to the family of ATP-binding cassette (ABC) transporters. Also known as AtMDR11 and PGP19. Possibly regulates auxin-dependent responses by influencing basipetal auxin transport in the root. Acts upstream of phyA in regulating hypocotyl elongation and gravitropic response. Exerts nonredundant, partially overlapping functions with the ABC transporter encoded by AtPGP1."
AT1G70940	PIN3	"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to the plasma membrane."
AT4G21670	CPL1	"encodes a a novel transcriptional repressor harboring two double-stranded RNA-binding domains and a region homologous to the catalytic domain of RNA polymerase II C-terminal domain phosphatases found in yeast and in animals that regulate gene transcription. Protein exhibits innate phosphatase activity in vitro. Mutants exhibit hyperresponsiveness to ABA, cold, and NaCl."
AT5G19330	ARIA	"Encodes an armadillo repeat protein involved in the abscisic acid response. The protein interacts with a transcription factor, ABF2, which controls ABA-dependent gene expression via the G-box-type ABA-responsive elements."
AT3G12120	FAD2	"Major enzyme responsible for the synthesis of 18:2 fatty acids in the endoplasmic reticulum. Contains His-rich motifs, which contribute to the interaction with the electron donor cytochrome b5.  Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.       protein_coding  FATTY ACID DESATURASE 2 (FAD2)  FATTY ACID DESATURASE 2 (FAD2)"
AT3G48170	ALDH10A9	 aldehyde dehydrogenase 10A9 
AT3G19820	DWF1	Involved in the conversion of the early brassinosteroid precursor 24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype. DWF1 is a Ca2+-dependent calmodulin-binding protein.
AT1G07040	"HuCL00392C001, HaT13l024540"	unknown protein
AT3G14660	CYP72A13	putative cytochrome P450
AT2G39890	PROT1	"Encodes a proline transporter with affinity for gly betaine, proline and GABA.  Protein is expressed in the vascular tissue, specifically the phloem.   protein_coding  PROLINE TRANSPORTER 1 (PROT1)   PROLINE TRANSPORTER 1 (PROT1);PROLINE TRANSPORTER 1 (ATPROT1)"
AT3G12580	HSP70	 heat shock protein 70 
AT5G02790	GSTL3	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.    protein_coding  GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)        GLUTATHIONE TRANSFERASE LAMBDA 2 (GSTL2)
AT1G79620	"HuCL21226C001, HaT13l028104"	"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: transmembrane receptor protein tyrosine kinase signaling pathway, protein amino acid phosphorylation; LOCATED IN: endomembrane system; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT5G49760.1); Has 173131 Blast hits to 132948 proteins in 4769 species: Archae - 163; Bacteria - 18653; Metazoa - 51943; Fungi - 10632; Plants - 70309; Viruses - 438; Other Eukaryotes - 20993 (source: NCBI BLink)."
AT3G04290	LTL1	"Li-tolerant lipase 1 (LTL1); FUNCTIONS IN: hydrolase activity, acting on ester bonds, carboxylesterase activity; INVOLVED IN: lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Lipase, GDSL (InterPro:IPR001087), Esterase, SGNH hydrolase-type (InterPro:IPR013830); BEST Arabidopsis thaliana protein match is: GDSL-like Lipase/Acylhydrolase superfamily protein (TAIR:AT5G33370.1); Has 3364 Blast hits to 3325 proteins in 174 species: Archae - 0; Bacteria - 234; Metazoa - 0; Fungi - 3; Plants - 3111; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).   protein_coding  LI-TOLERANT LIPASE 1 (LTL1)      (ATLTL1);LI-TOLERANT LIPASE 1 (LTL1)"
AT3G19820	DWF1	Involved in the conversion of the early brassinosteroid precursor 24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype. DWF1 is a Ca2+-dependent calmodulin-binding protein.
AT1G74670	GASA6	Gibberellin-regulated family prot
AT2G48020	"HuCL01773C001, HaT13l007466"	"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: plasma membrane, chloroplast, vacuole, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G18840.1); Has 32576 Blast hits to 32035 proteins in 2204 species: Archae - 531; Bacteria - 16009; Metazoa - 5272; Fungi - 6662; Plants - 2708; Viruses - 2; Other Eukaryotes - 1392 (source: NCBI BLink)."
AT5G40010	AATP1	"Encodes a mitochondrial ATPase involved in seed and silique development.        protein_coding  AAA-ATPASE 1 (AATP1)    AAA-ATPASE 1 (AATP1);ATPASE-IN-SEED-DEVELOPMENT (ASD); AAA-ATPase 1 (AATP1); FUNCTIONS IN: nucleoside-triphosphatase activity, ATPase activity, nucleotide binding, ATP binding; EXPRESSED IN: stem, inflorescence meristem, root, flower, stamen; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: ATPase, AAA-type, core (InterPro:IPR003959), ATPase, AAA+ type, core (InterPro:IPR003593), ATPase, AAA-type, conserved site (InterPro:IPR003960); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G28580.1); Has 35875 Blast hits to 26437 proteins in 2942 species: Archae - 1242; Bacteria - 8120; Metazoa - 8429; Fungi - 4077; Plants - 2736; Viruses - 205; Other Eukaryotes - 11066 (source: NCBI BLink)."
AT4G34529	"HuCD847422, CIB1"	"Encodes a transcription factor CIB1 (cryptochrome-interacting basic-helix-loop-helix). CIB1 interacts with CRY2 (cryptochrome 2) in a blue light-specific manner in yeast and Arabidopsis cells, and it acts together with additional CIB1-related proteins to promote CRY2-dependent floral initiation. CIB1 positively regulates FT expression.       protein_coding  CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 1 (CIB1)        CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 1 (CIB1)"
AT5G59320	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
AT5G59320	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
AT5G59320	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
AT4G21960	PRXR1	Encodes AT4g21960 (AT4g21960/T8O5_170). protein_coding   (PRXR1)         (PRXR1)
AT5G57655	"HuCL00178C003, HaT13l000974"	 xylose isomerase family protein 
AT1G26770	EXPA10	"Encodes an expansin. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio). Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."
AT2G36630	"HuCL00421C002, HaT13l005065"	"Sulfite exporter TauE/SafE family protein; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF81 (InterPro:IPR002781); BEST Arabidopsis thaliana protein match is: Sulfite exporter TauE/SafE family protein (TAIR:AT2G25737.1); Has 1587 Blast hits to 1517 proteins in 484 species: Archae - 83; Bacteria - 808; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 496 (source: NCBI BLink)."
AT3G13050	NiaP	Encodes a plant nicotinate transporter than can also transport trigonelline (N-methylnicotinate).
AT1G76490	HMG1	"Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine       protein_coding  HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1)   HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1);3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1 (HMGR1); (AtHMGR1)"
AT3G14310	PME3	"encodes a pectin methylesterase, targeted by a cellulose binding protein (CBP) from the parasitic nematode Heterodera schachtii during parasitism."
AT3G55610	P5CS2	 delta 1-pyrroline-5-carboxylate synthase 2
AT2G39800	P5CS1	 delta1-pyrroline-5-carboxylate synthase 1
AT1G14540	"HuCL03143C001, HaT13l012190"	 Peroxidase superfamily protein
AT5G59845	"HuCL03624C001, HaT13l023985"	Gibberellin-regulated family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to gibberellin stimulus; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Gibberellin regulated protein (InterPro:IPR003854); BEST Arabidopsis thaliana protein match is: Gibberellin-regulated family protein (TAIR:AT2G39540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
AT2G36880	MAT3	"methionine adenosyltransferase 3 (MAT3); FUNCTIONS IN: methionine adenosyltransferase activity; INVOLVED IN: one-carbon metabolic process, S-adenosylmethionine biosynthetic process; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: S-adenosylmethionine synthetase (InterPro:IPR002133), S-adenosylmethionine synthetase superfamily (InterPro:IPR022636), S-adenosylmethionine synthetase, N-terminal (InterPro:IPR022628), S-adenosylmethionine synthetase, C-terminal (InterPro:IPR022630), S-adenosylmethionine synthetase, conserved site (InterPro:IPR022631), S-adenosylmethionine synthetase, central domain (InterPro:IPR022629); BEST Arabidopsis thaliana protein match is: S-adenosylmethionine synthetase family protein (TAIR:AT3G17390.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).      protein_coding  METHIONINE ADENOSYLTRANSFERASE 3 (MAT3) METHIONINE ADENOSYLTRANSFERASE 3 (MAT3)"
AT1G13680	"HuCL13363C001, HaT13l009831"	"PLC-like phosphodiesterases superfamily protein; FUNCTIONS IN: phospholipase C activity, phosphoric diester hydrolase activity; INVOLVED IN: intracellular signaling pathway, lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: embryo, flower, seed; EXPRESSED DURING: F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Phospholipase C, phosphatidylinositol-specific , X domain (InterPro:IPR000909), PLC-like phosphodiesterase, TIM beta/alpha-barrel domain (InterPro:IPR017946); BEST Arabidopsis thaliana protein match is: PLC-like phosphodiesterases superfamily protein (TAIR:AT1G49740.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
AT2G28630	KCS12	"Encodes KCS12, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).      protein_coding  3-KETOACYL-COA SYNTHASE 12 (KCS12)      3-KETOACYL-COA SYNTHASE 12 (KCS12)"
AT5G39000	"HuCL18165C001, HaT13l006316"	"Malectin/receptor-like protein kinase family protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Malectin/receptor-like protein kinase (InterPro:IPR021720), Protein kinase, catalytic domain (InterPro:IPR000719), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Malectin/receptor-like protein kinase family protein (TAIR:AT5G38990.1); Has 116422 Blast hits to 114937 proteins in 4415 species: Archae - 91; Bacteria - 12945; Metazoa - 43415; Fungi - 9851; Plants - 32921; Viruses - 374; Other Eukaryotes - 16825 (source: NCBI BLink)."
AT4G11649	"OSM34, HuDY909416"	osmotin-like protein
AT1G78000	SULTR1	 sulfate transporter 1;2 
